text,labels
CINTA HULE AUTOFUSION.SCOTCH 3M,Herramientas
TERM EXT QTII 15KV 2-3/0 C/AP,Media Tensión
CONECTOR RESORTE AZUL-GRIS CAJA 3M,Media Tensión
"BOTA CONTRACTIL EN FRIO 4""-3"" 3M S/AP",Media Tensión
CINTA SCOTCH 27 DE 1/2 X 20MTS,Herramientas
MANGA CIERRE CAL 3/0-400KC S/AP,Media Tensión
TUBO TERMOCONTRACTIL 8-2 AWG 3M,Media Tensión
DESPACHADOR NUM (0 AL 9),Herramientas
GEL LUBRICANTE 1/4GALON .946LT,Herramientas
TR POS PABT 2B DA1-15-13200-120/240V,Conductores
MICRO-INT. 115-115 HARTMANN,Clavijas y contactos industriales
RECEP. CLABLEADO LAT/POST. 20A,Alambre de 14 a 8 awg|Cuenta con orificios de montaje
CLAVIJA NYLON 4P 20A 120/208V  GRIS,Clavijas y contactos industriales
ARRANC. 2P1T 2 POS. 30A C/CAJA,Distribución control y motores
INT./TABL.2P 2T 3 POS.(SI-NO-S,INT./TABL.2P 2T 3 POS.(SI-NO-S
PLACA D/AL. P/RECEP. DPX PLATA,Clavijas y contactos industriales
"ABRAZADERA UNICAL 2 1/2"" ANCLO",Tubería y canalización
"CONECTOR ZINC T/STEEL 1"" ANCLO",Tubería y canalización
COPLE HEXAGONAL 1/4 GALVANIZADO ANCLO,Tubería y canalización
"CONTRA DE 1 1/2"" ANCLO",Tubería y canalización
"CONECT LICUATITE CURVO 1/2"" ANCLO",Tubería y canalización
MORDAZA ACERO GALV 3/4X1/4 ANCLO,Tubería y canalización
BRAZO P/LUMINARIA 32X1200 CEDULA 30 GALV S/AP,Iluminación
"TAPA CIEGA CON EMPAQUE 2""",Tubería y canalización
MTS CABLE THW CAL 1/0 NEGRO ROLLO CONDULAC,Conductores
MTS CABLE USO RUDO 3X14 600V TRAMO CONDULAC,Conductores
LUM PANEL LED1X4FT 4300LM 5000K 120-277,Residencial
